ticker,name,periods_selected
000698,沈阳化工,1
000550,江铃汽车,1
600007,中国国贸,1
600797,浙大网新,1
600787,中储股份,1
600761,安徽合力,1
600022,济南钢铁,1
002378,章源钨业,1
601098,中南传媒,1
300142,沃森生物,1
002602,世纪华通,1
300070,碧水源,1
002500,山西证券,1
600998,九州通,1
600666,奥瑞德,1
002399,海普瑞,1
601198,东兴证券,1
002085,万丰奥威,1
300072,三聚环保,1
000959,首钢股份,1
600682,南京新百,1
300315,掌趣科技,1
002508,老板电器,1
601360,三六零,1
600398,海澜之家,1
600977,中国电影,1
000656,金科股份,1
002468,申通快递,1
300498,温氏股份,1
600745,闻泰科技,1
603658,安图生物,1
601718,际华集团,1
600873,梅花集团,1
600157,永泰能源,1
603000,人民网,1
002375,亚厦股份,1
601928,凤凰传媒,1
000831,关铝股份,1
002603,以岭药业,1
601099,太平洋,1
002653,海思科,1
600839,四川长虹,1
002065,东华软件,1
000826,桑德环境,1
601992,金隅股份,1
002195,二三四五,1
601929,吉视传媒,1
600648,外高桥,1
000883,湖北能源,1
601377,兴业证券,1
002470,金正大,1
601866,中海集运,1
600221,海航控股,1
002292,奥飞动漫,1
002739,万达院线,1
300803,指南针,1
