code,name,start_date,end_date
000703,恒逸石化,2018-12-17,2022-12-12
000707,双环科技,2006-01-04,2007-01-04
000708,中信特钢,2005-04-08,2008-07-01
000708,中信特钢,2020-06-15,
000709,唐钢股份,2005-04-08,2020-12-14
000712,锦龙股份,2015-06-15,2017-06-12
000717,韶钢松山,2005-04-08,2011-01-04
000718,苏宁环球,2008-01-02,2014-12-15
000718,苏宁环球,2016-12-12,2017-12-11
000723,美锦能源,2017-12-11,2018-12-17
000723,美锦能源,2019-12-16,2021-06-15
000723,美锦能源,2022-12-12,2023-12-11
000725,京东方A,2005-04-08,2007-07-02
000725,京东方A,2009-01-05,2010-01-04
000725,京东方A,2010-07-01,2012-01-04
000725,京东方A,2012-07-02,
000726,鲁泰Ａ,2005-04-08,2007-01-04
000727,华东科技,2005-04-08,2006-07-03
000728,国元证券,2008-07-01,2021-12-13
000729,燕京啤酒,2005-04-08,2016-12-12
000733,振华科技,2005-04-08,2007-01-04
000733,振华科技,2022-12-12,2024-12-16
000735,罗牛山,2005-04-08,2006-07-03
000737,南风化工,2005-04-08,2006-07-03
000738,中航动控,2015-05-15,2018-06-11
000750,国海证券,2013-01-04,2018-06-11
000751,锌业股份,2007-01-04,2009-01-05
000755,山西三维,2008-07-01,2009-07-01
000758,中色股份,2005-04-08,2014-12-15
000761,G本钢,2006-07-03,2007-07-02
000761,G本钢,2008-01-02,2009-01-05
000763,锦州石化,2005-04-08,2006-01-04
000767,漳泽电力,2005-04-08,2009-07-01
000768,中航西飞,2006-01-04,
000776,广发证券,2011-01-04,
000778,新兴铸管,2005-04-08,2017-06-12
000780,草原兴发,2005-04-08,2006-08-15
000780,草原兴发,2010-01-04,2013-12-16
000783,长江证券,2008-07-01,2022-06-13
000786,北新建材,2005-04-08,2008-07-01
000786,北新建材,2018-06-11,2026-06-15
000792,盐湖股份,2005-04-08,2019-06-17
000792,盐湖股份,2022-06-13,
000793,G燃气,2006-04-17,2010-07-01
000793,G燃气,2013-12-16,2017-12-11
000800,一汽轿车,2005-04-08,2017-06-12
000800,一汽轿车,2021-06-15,2025-12-15
000806,银河科技,2005-04-08,2007-01-04
000807,云铝股份,2005-04-08,2013-12-16
000807,云铝股份,2024-06-17,
000817,辽河油田,2005-04-08,2006-01-04
000822,山东海化,2005-04-08,2010-07-01
000823,超声电子,2005-04-08,2006-01-04
000825,太钢不锈,2005-04-08,2013-07-01
000825,太钢不锈,2014-12-15,2016-12-12
000826,桑德环境,2013-12-16,2019-06-17
000828,东莞控股,2005-04-08,2009-01-05
000829,天音控股,2007-07-02,2009-07-01
000831,关铝股份,2005-04-08,2006-01-04
000831,关铝股份,2013-12-16,2016-06-13
000839,中信国安,2005-04-08,2015-12-14
000839,中信国安,2016-06-13,2019-06-17
000858,五 粮 液,2005-04-08,
000860,顺鑫农业,2020-06-15,2021-12-13
000866,扬子石化,2005-04-08,2006-04-17
000869,G张裕,2006-04-17,2007-07-02
000869,G张裕,2011-07-01,2015-06-15
000875,吉电股份,2005-04-08,2007-07-02
000876,新希望,2007-07-02,2026-06-15
000877,天山股份,2022-06-13,2024-06-17
000878,云南铜业,2005-04-08,2015-12-14
000883,湖北能源,2013-01-04,2013-12-16
000883,湖北能源,2014-06-16,2016-12-12
000886,海南高速,2005-04-08,2006-07-03
000895,双汇发展,2005-04-08,2007-07-02
000895,双汇发展,2008-01-02,
000897,津滨发展,2007-01-04,2011-01-04
000898,鞍钢新轧,2005-04-08,2013-07-01
000898,鞍钢新轧,2014-12-15,2016-12-12
000898,鞍钢新轧,2017-12-11,2020-06-15
000900,现代投资,2005-04-08,2011-07-01
000912,泸天化,2005-04-08,2010-01-04
000916,华北高速,2005-04-08,2006-07-03
000917,电广传媒,2005-04-08,2010-07-01
000917,电广传媒,2014-06-16,2017-12-11
000920,南方汇通,2005-04-08,2007-01-04
000921,科龙电器,2005-04-08,2005-07-01
000927,一汽夏利,2005-04-08,2012-01-04
000930,丰原生化,2005-04-08,2008-01-02
000932,华菱管线,2005-04-08,2011-01-04
000933,神火股份,2005-04-08,2014-06-16
000937,金牛能源,2005-04-08,2016-06-13
000938,紫光股份,2016-12-12,
000939,凯迪电力,2005-04-08,2007-02-26
000949,新乡化纤,2005-04-08,2006-07-03
000951,中国重汽,2008-01-02,2012-01-04
000956,中原油气,2005-04-08,2006-04-17
000959,首钢股份,2005-04-08,2007-01-04
000959,首钢股份,2007-07-02,2011-07-01
000959,首钢股份,2017-06-12,2019-06-17
000960,锡业股份,2005-04-08,2015-12-14
000961,中南建设,2010-07-01,2014-12-15
000961,中南建设,2017-06-12,2021-06-15
000962,东方钽业,2005-04-08,2008-01-02
000963,华东医药,2013-07-01,
000968,煤气化,2005-04-08,2007-01-04
000968,煤气化,2009-01-05,2013-07-01
000969,G安泰Ａ,2006-01-04,2013-12-16
000970,中科三环,2005-04-08,2008-07-01
000970,中科三环,2013-01-04,2015-12-14
000975,山金国际,2005-07-01,2006-07-03
000975,山金国际,2024-12-16,
000977,浪潮信息,2016-06-13,2017-12-11
000977,浪潮信息,2020-06-15,
000983,西山煤电,2005-04-08,2016-06-13
000983,西山煤电,2016-12-12,2019-06-17
000983,西山煤电,2023-06-12,2026-06-15
000988,华工科技,2026-06-15,
000997,G新大陆,2006-07-03,2008-01-02
000999,华润三九,2009-07-01,2016-12-12
000999,华润三九,2023-12-11,
001280,中国铀业,2026-06-15,
001289,龙源电力,2022-06-13,2025-12-15
001391,国货航,2025-06-16,
001965,招商公路,2018-06-11,2019-06-17
001965,招商公路,2024-06-17,
001979,招商蛇口,2015-12-30,
002001,新和成,2009-01-05,2015-12-14
002001,新和成,2018-12-17,
002007,华兰生物,2010-01-04,2025-06-16
002008,大族激光,2007-01-04,2008-01-02
002008,大族激光,2014-06-16,2023-06-12
002010,传化智联,2019-06-17,2020-06-15
002024,苏宁电器,2005-07-01,2022-06-13
002025,航天电器,2007-01-04,2007-11-19
002027,分众传媒,2016-06-13,
002028,思源电气,2009-07-01,2012-01-04
002028,思源电气,2024-12-16,
002032,苏泊尔,2018-12-17,2023-06-12
002038,双鹭药业,2009-07-01,2010-01-04
002038,双鹭药业,2012-01-04,2016-06-13
002044,美年健康,2017-06-12,2022-06-13
002049,紫光国微,2016-12-12,2017-12-11
002049,紫光国微,2020-12-14,
002050,三花智控,2018-06-11,
002051,中工国际,2007-01-04,2008-01-02
002051,中工国际,2013-07-01,2015-12-14
002052,同洲电子,2007-01-04,2007-07-02
002064,华峰化学,2021-12-13,2023-12-11
002065,东华软件,2013-12-16,2019-12-16
002069,獐子岛,2007-07-02,2008-01-02
002069,獐子岛,2011-07-01,2014-06-16
002073,软控股份,2011-07-01,2013-07-01
002074,国轩高科,2016-12-12,2018-12-17
002074,国轩高科,2022-06-13,
002078,太阳纸业,2007-07-02,2008-01-02
002081,金螳螂,2012-07-02,2020-06-15
002083,孚日股份,2007-07-02,2008-01-02
002085,万丰奥威,2016-12-12,2017-06-12
002085,万丰奥威,2018-06-11,2019-06-17
002092,中泰化学,2011-01-04,2013-12-16
002097,山河智能,2007-07-02,2008-01-02
002097,山河智能,2008-07-01,2009-07-01
002106,莱宝高科,2007-07-02,2008-01-02
002106,莱宝高科,2011-07-01,2014-12-15
002110,三钢闽光,2007-07-02,2008-07-01
002120,韵达股份,2018-12-17,2023-12-11
002122,天马股份,2008-01-02,2008-07-01
002122,天马股份,2009-07-01,2013-07-01
002128,露天煤业,2008-01-02,2013-12-16
002129,中环股份,2013-12-16,2017-06-12
002129,中环股份,2020-06-15,2025-12-15
002131,利欧股份,2016-12-12,2017-12-11
002142,宁波银行,2008-01-02,
002146,荣盛发展,2008-07-01,2009-07-01
002146,荣盛发展,2011-01-04,2021-06-15
002152,广电运通,2009-01-05,2009-07-01
002152,广电运通,2016-06-13,2017-12-11
002153,石基信息,2014-12-15,2021-12-13
002155,辰州矿业,2008-07-01,2014-06-16
002157,正邦科技,2020-06-15,2022-06-13
002174,游族网络,2016-12-12,2018-06-11
002179,中航光电,2018-12-17,
002180,纳思达,2022-12-12,2025-12-15
002183,怡亚通,2016-06-13,2017-12-11
002194,武汉凡谷,2009-07-01,2010-01-04
002195,二三四五,2015-12-14,2017-12-11
002202,金风科技,2008-07-01,2024-06-17
002202,金风科技,2026-06-15,
002230,科大讯飞,2013-12-16,
002236,大华股份,2013-01-04,
002241,歌尔股份,2012-07-02,
002242,九阳股份,2009-07-01,2011-07-01
002244,滨江集团,2009-07-01,2012-07-02
002252,上海莱士,2014-06-16,2026-06-15
002269,美邦服饰,2009-07-01,2010-01-04
002269,美邦服饰,2013-07-01,2014-12-15
002271,东方雨虹,2018-12-17,2025-06-16
002275,桂林三金,2010-01-04,2010-07-01
002292,奥飞动漫,2014-06-16,2018-06-11
002294,信立泰,2011-01-04,2012-01-04
002294,信立泰,2013-07-01,2016-12-12
002294,信立泰,2017-12-11,2020-06-15
002299,圣农发展,2012-01-04,2014-06-16
002299,圣农发展,2016-12-12,2017-12-11
002304,洋河股份,2010-07-01,
002310,东方园林,2011-07-01,2015-12-14
002310,东方园林,2016-12-12,2019-12-16
002311,海大集团,2018-12-17,
002344,海宁皮城,2012-01-04,2015-12-14
002352,顺丰控股,2017-06-12,
002353,杰瑞股份,2012-07-02,2016-06-13
002353,杰瑞股份,2026-06-15,
002371,北方华创,2020-06-15,
002375,亚厦股份,2013-01-04,2016-06-13
002378,章源钨业,2012-01-04,2013-12-16
002384,东山精密,2020-12-14,2021-12-13
002384,东山精密,2025-12-15,
002385,大北农,2011-01-04,2018-12-17
002399,海普瑞,2011-01-04,2016-12-12
002400,省广股份,2014-06-16,2015-06-15
002405,四维图新,2011-01-04,2013-07-01
002410,广联达,2014-06-16,2016-06-13
002410,广联达,2019-06-17,2024-12-16
002411,必康股份,2017-06-12,2020-06-15
002414,高德红外,2020-12-14,2023-12-11
002415,海康威视,2011-01-04,
002416,爱施德,2014-06-16,2015-06-15
002422,科伦药业,2011-01-04,2016-12-12
002422,科伦药业,2018-12-17,2021-06-15
002422,科伦药业,2024-12-16,
002424,贵州百灵,2016-06-13,2018-06-11
002426,胜利精密,2016-12-12,2018-06-11
002429,兆驰股份,2014-06-16,2015-06-15
002431,棕榈园林,2012-01-04,2014-06-16
002450,康得新,2013-07-01,2019-06-17
002456,欧菲光,2013-12-16,2021-12-13
002459,晶澳科技,2021-12-13,2026-06-15
002460,赣锋锂业,2017-12-11,
002463,沪电股份,2020-06-15,2021-12-13
002463,沪电股份,2024-12-16,
002465,海格通信,2014-06-16,2018-06-11
002466,天齐锂业,2016-12-12,2020-12-14
002466,天齐锂业,2021-12-13,
002468,申通快递,2017-12-11,2020-12-14
002470,金正大,2014-06-16,2018-12-17
002475,立讯精密,2014-06-16,
002493,荣盛石化,2011-07-01,2013-01-04
002493,荣盛石化,2018-06-11,
002498,汉缆股份,2011-07-01,2012-07-02
002500,山西证券,2011-07-01,2018-12-17
002508,老板电器,2017-06-12,2021-12-13
002532,天山铝业,2026-06-15,
002555,三七互娱,2017-06-12,2025-06-16
002558,巨人网络,2017-06-12,2021-12-13
002558,巨人网络,2026-06-15,
002568,百润股份,2016-06-13,2017-06-12
002568,百润股份,2021-12-13,2022-12-12
002570,贝因美,2012-07-02,2015-12-14
002572,索菲亚,2017-12-11,2019-06-17
002594,比亚迪,2012-01-04,
002600,领益智造,2020-12-14,2023-06-12
002600,领益智造,2025-06-16,
002601,龙蟒佰利,2017-12-11,2026-06-15
002602,世纪华通,2017-06-12,2023-06-12
002602,世纪华通,2026-06-15,
002603,以岭药业,2012-01-04,2015-06-15
002603,以岭药业,2023-12-11,2024-12-16
002607,中公教育,2019-12-16,2022-12-12
002608,江苏国信,2017-12-11,2018-12-17
002624,完美世界,2017-12-11,2022-06-13
002625,光启技术,2018-06-11,2019-12-16
002625,光启技术,2025-12-15,
002648,卫星化学,2022-06-13,
002653,海思科,2013-12-16,2015-12-14
002673,西部证券,2013-01-04,2021-12-13
002709,天赐材料,2021-12-13,
002714,牧原股份,2016-12-12,
002736,国信证券,2015-06-15,
002739,万达院线,2015-12-14,2018-12-17
002739,万达院线,2019-06-17,2021-12-13
002756,永兴材料,2022-12-12,2023-12-11
002773,康弘药业,2018-12-17,2021-12-13
002791,坚朗五金,2021-12-13,2022-12-12
002797,第一创业,2016-12-12,2019-06-17
002812,恩捷股份,2020-12-14,2025-06-16
002821,凯莱英,2020-12-14,2024-12-16
002831,裕同科技,2017-06-12,2018-06-11
002837,英维克,2026-06-15,
002839,张家港行,2017-06-12,2018-06-11
002841,视源股份,2017-06-12,2018-06-11
002841,视源股份,2019-12-16,2024-12-16
002916,深南电路,2019-12-16,
002920,德赛西威,2022-06-13,
002925,盈趣科技,2018-06-11,2019-12-16
002938,鹏鼎控股,2019-06-17,
002939,长城证券,2019-06-17,2021-12-13
002945,华林证券,2019-06-17,2021-12-13
002958,青农商行,2019-12-16,2021-06-15
003816,中国广核,2020-06-15,
300002,神州泰岳,2015-06-15,2017-06-12
300003,乐普医疗,2015-05-15,2016-12-12
300003,乐普医疗,2017-12-11,2022-12-12
300014,亿纬锂能,2020-06-15,
300015,爱尔眼科,2014-12-15,2017-06-12
300015,爱尔眼科,2017-12-11,
300017,网宿科技,2014-12-15,2020-06-15
300024,机器人,2014-12-15,2020-06-15
300027,华谊兄弟,2014-12-15,2018-12-17
300033,同花顺,2016-12-12,
300058,蓝色光标,2014-12-15,2017-06-12
300059,东方财富,2015-06-15,
300070,碧水源,2014-12-15,2020-06-15
300072,三聚环保,2016-12-12,2019-12-16
300085,银之杰,2016-06-13,2017-06-12
300104,乐视网,2015-06-15,2017-12-11
300122,智飞生物,2017-12-11,
300124,汇川技术,2014-12-15,
300133,华策影视,2014-12-15,2017-12-11
300136,信维通信,2017-12-11,2021-12-13
300142,沃森生物,2018-12-17,2024-12-16
300144,宋城演艺,2015-12-14,2022-06-13
300146,汤臣倍健,2014-12-15,2017-06-12
300168,万达信息,2016-06-13,2017-12-11
300182,捷成股份,2016-12-12,2017-06-12
300207,欣旺达,2022-06-13,2023-12-11
300223,北京君正,2022-06-13,2024-12-16
300251,光线传媒,2014-12-15,2019-12-16
300251,光线传媒,2025-12-15,
300274,阳光电源,2021-06-15,
300296,利亚德,2018-12-17,2019-12-16
300308,中际旭创,2023-12-11,
300315,掌趣科技,2015-12-14,2018-06-11
300316,晶盛机电,2021-12-13,
300347,泰格医药,2019-12-16,2026-06-15
300394,天孚通信,2024-12-16,
300408,三环集团,2018-06-11,
300413,芒果超媒,2019-06-17,
300418,昆仑万维,2024-06-17,
300433,蓝思科技,2018-06-11,
300442,润泽科技,2024-06-17,
300450,先导智能,2021-06-15,2025-06-16
300450,先导智能,2026-06-15,
300454,深信服,2022-06-13,2024-12-16
300476,胜宏科技,2025-12-15,
300496,中科创达,2022-06-13,2024-12-16
300498,温氏股份,2019-06-17,
300502,新易盛,2024-12-16,
300529,健帆生物,2020-12-14,2023-06-12
300558,贝达药业,2021-06-15,2022-06-13
300595,欧普康视,2021-06-15,2023-06-12
300601,康泰生物,2020-06-15,2023-12-11
300628,亿联网络,2020-06-15,
300661,圣邦股份,2022-06-13,
300676,华大基因,2020-12-14,2022-06-13
300677,英科医疗,2021-06-15,2022-06-13
300750,宁德时代,2021-12-13,
300751,迈为股份,2022-06-13,2024-12-16
300759,康龙化成,2021-12-13,2026-06-15
300760,迈瑞医疗,2021-12-13,
300763,锦浪科技,2022-06-13,2024-06-17
300769,德方纳米,2022-12-12,2023-12-11
300782,卓胜微,2021-12-13,2026-06-15
300803,指南针,2025-12-15,
300832,新产业,2024-06-17,
300866,安克创新,2021-12-13,2022-12-12
300866,安克创新,2025-12-15,
300888,稳健医疗,2021-12-13,2022-06-13
300896,爱美客,2021-12-13,
300919,中伟股份,2022-06-13,2024-12-16
300957,贝泰妮,2022-06-13,2024-12-16
300979,华利集团,2022-06-13,2026-06-15
300999,金龙鱼,2021-12-13,
301165,锐捷网络,2026-06-15,
301236,软通动力,2025-06-16,
301269,华大九天,2023-12-11,
301308,江波龙,2026-06-15,
302132,中航成飞,2025-06-16,
600000,浦发银行,2005-04-08,
600001,邯郸钢铁,2005-04-08,2010-01-04
600002,齐鲁石化,2005-04-08,2006-04-17
600003,东北高速,2007-07-02,2008-01-02
600004,白云机场,2005-04-08,2012-01-04
600004,白云机场,2018-12-17,2021-06-15
600005,武钢股份,2005-04-08,2013-12-16
600005,武钢股份,2015-06-15,2017-02-10
600006,东风汽车,2005-04-08,2011-07-01
600007,中国国贸,2005-04-08,2006-07-03
600007,中国国贸,2007-01-04,2009-07-01
600008,首创股份,2005-04-08,2012-07-02
600008,首创股份,2013-12-16,2018-12-17
600009,上海机场,2005-04-08,
600010,包钢股份,2005-04-08,
600011,华能国际,2005-04-08,2011-01-04
600011,华能国际,2012-07-02,2016-12-12
600011,华能国际,2017-12-11,
600012,皖通高速,2005-04-08,2009-01-05
600015,华夏银行,2005-04-08,
600016,民生银行,2005-04-08,
600017,日照港,2007-07-02,2011-07-01
600018,上港集团,2005-04-08,2012-01-04
600018,上港集团,2013-12-16,
600019,宝钢股份,2005-04-08,
600020,中原高速,2005-04-08,2009-07-01
600021,上海电力,2005-04-08,2009-07-01
600021,上海电力,2015-12-14,2018-06-11
600022,济南钢铁,2005-04-08,2011-01-04
600022,济南钢铁,2012-07-02,2013-07-01
600022,济南钢铁,2016-06-13,2016-12-12
600023,浙能电力,2014-06-16,2020-06-15
600023,浙能电力,2023-12-11,
600025,华能水电,2018-06-11,
600026,中远海能,2005-04-08,2012-07-02
600026,中远海能,2024-06-17,
600027,华电国际,2006-01-04,2011-01-04
600027,华电国际,2013-01-04,2016-12-12
600027,华电国际,2018-12-17,2021-06-15
600027,华电国际,2024-06-17,
600028,中国石化,2005-04-08,
600029,南方航空,2005-04-08,
600030,中信证券,2005-04-08,
600031,三一重工,2005-04-08,
600033,福建高速,2005-04-08,2011-07-01
600035,楚天高速,2005-04-08,2008-07-01
600036,招商银行,2005-04-08,
600037,歌华有线,2005-04-08,2013-07-01
600037,歌华有线,2016-06-13,2017-12-11
600038,哈飞股份,2014-12-15,2020-12-14
600039,四川路桥,2022-12-12,
600048,保利发展,2007-01-04,
600050,中国联通,2005-04-08,
600057,夏新电子,2005-04-08,2007-01-04
600058,五矿发展,2005-04-08,2015-06-15
600060,海信电器,2005-04-08,2008-01-02
600060,海信电器,2013-07-01,2017-12-11
600061,国投资本,2016-06-13,
600062,双鹤药业,2006-01-04,2008-01-02
600062,双鹤药业,2009-01-05,2009-07-01
600062,双鹤药业,2010-01-04,2014-12-15
600066,宇通客车,2007-01-04,2021-06-15
600066,宇通客车,2024-12-16,
600068,葛洲坝,2005-04-08,2006-07-03
600068,葛洲坝,2007-01-04,2021-06-15
600072,江南重工,2005-04-08,2005-07-01
600073,上海梅林,2005-04-08,2007-07-02
600074,中达股份,2005-04-08,2006-01-04
600074,中达股份,2016-06-13,2018-06-11
600078,澄星股份,2005-04-08,2008-01-02
600079,人福医药,2013-12-16,2015-06-15
600079,人福医药,2021-06-15,2022-06-13
600085,同仁堂,2005-04-08,
600087,南京水运,2005-04-08,2011-07-01
600088,中视传媒,2005-04-08,2008-07-01
600089,特变电工,2005-04-08,2007-07-02
600089,特变电工,2008-01-02,2020-12-14
600089,特变电工,2022-06-13,
600091,明天科技,2005-04-08,2007-01-04
600096,云天化,2005-04-08,2014-12-15
600098,广州控股,2005-04-08,2009-07-01
600098,广州控股,2012-01-04,2012-07-02
600098,广州控股,2016-06-13,2016-12-12
600100,清华同方,2005-04-08,2020-06-15
600102,莱钢股份,2005-04-08,2011-01-04
600103,青山纸业,2005-04-08,2006-07-03
600104,上汽集团,2005-04-08,
600108,亚盛集团,2005-04-08,2015-12-14
600109,成都建投,2008-01-02,2022-06-13
600110,中科英华,2005-04-08,2010-01-04
600111,北方稀土,2008-01-02,
600115,中国东航,2005-04-08,2007-01-04
600115,中国东航,2008-01-02,2009-07-01
600115,中国东航,2011-01-04,
600117,西宁特钢,2005-04-08,2010-01-04
600118,中国卫星,2007-01-04,2021-12-13
600118,中国卫星,2026-06-15,
600121,郑州煤电,2005-04-08,2007-07-02
600123,兰花科创,2005-04-08,2014-12-15
600125,铁龙物流,2005-07-01,2013-12-16
600126,杭钢股份,2005-04-08,2007-01-04
600132,重庆啤酒,2006-07-03,2013-12-16
600132,重庆啤酒,2021-06-15,2024-12-16
600135,乐凯胶片,2005-04-08,2006-01-04
600138,中青旅,2005-04-08,2007-01-04
600143,G金发,2006-07-03,2015-06-15
600143,G金发,2021-06-15,2022-06-13
600150,中国船舶,2007-01-04,2017-12-11
600150,中国船舶,2020-12-14,
600151,G航天,2006-07-03,2012-07-02
600153,建发股份,2005-04-08,2020-06-15
600157,永泰能源,2013-01-04,2019-06-17
600158,中体产业,2008-01-02,2010-07-01
600160,巨化股份,2007-01-04,2008-01-02
600160,巨化股份,2012-01-04,2014-06-16
600160,巨化股份,2024-12-16,
600161,天坛生物,2007-01-04,2008-07-01
600161,天坛生物,2010-01-04,2012-07-02
600161,天坛生物,2020-12-14,2022-12-12
600161,天坛生物,2024-06-17,2026-06-15
600166,福田汽车,2005-04-08,2007-01-04
600166,福田汽车,2010-01-04,2016-06-13
600169,太原重工,2008-07-01,2009-01-05
600169,太原重工,2009-07-01,2013-12-16
600170,上海建工,2005-04-08,2020-12-14
600171,上海贝岭,2005-04-08,2008-01-02
600176,中国巨石,2009-07-01,2010-07-01
600176,中国巨石,2018-06-11,
600177,雅戈尔,2005-04-08,2021-06-15
600183,生益科技,2005-04-08,2013-01-04
600183,生益科技,2019-12-16,
600188,兖矿能源,2005-04-08,2020-12-14
600188,兖矿能源,2022-06-13,
600190,锦州港,2005-04-08,2006-07-03
600190,锦州港,2007-01-04,2008-07-01
600196,复星医药,2005-04-08,
